Player,Team,Team,GP,MIN,FG%,3P%,FT%,REB,AST,PTS
Shai Gilgeous-Alexander,1610612760,OKC,76,34.2,0.519,0.375,0.898,5.0,6.4,32.7
Giannis Antetokounmpo,1610612749,MIL,67,34.2,0.601,0.222,0.617,11.9,6.5,30.4
Nikola Jokić,1610612743,DEN,70,36.7,0.576,0.417,0.8,12.7,10.2,29.6
Anthony Edwards,1610612750,MIN,79,36.3,0.447,0.395,0.837,5.7,4.5,27.6
Jayson Tatum,1610612738,BOS,72,36.4,0.452,0.343,0.814,8.7,6.0,26.8
Kevin Durant,1610612756,PHX,62,36.5,0.527,0.43,0.839,6.0,4.2,26.6
Cade Cunningham,1610612765,DET,70,35.0,0.469,0.356,0.846,6.1,9.1,26.1
Jalen Brunson,1610612752,NYK,65,35.4,0.488,0.383,0.821,2.9,7.3,26.0
Devin Booker,1610612756,PHX,75,37.3,0.461,0.332,0.894,4.1,7.1,25.6
Damian Lillard,1610612749,MIL,58,36.1,0.448,0.376,0.921,4.7,7.1,24.9
Stephen Curry,1610612744,GSW,70,32.2,0.448,0.397,0.933,4.4,6.0,24.5
Karl-Anthony Towns,1610612752,NYK,72,35.0,0.526,0.42,0.829,12.8,3.1,24.4
LeBron James,1610612747,LAL,70,34.9,0.513,0.376,0.782,7.8,8.2,24.4
Trae Young,1610612737,ATL,76,36.0,0.411,0.34,0.875,3.1,11.6,24.2
Franz Wagner,1610612753,ORL,60,33.7,0.463,0.295,0.871,5.7,4.7,24.2
Donovan Mitchell,1610612739,CLE,71,31.4,0.443,0.368,0.823,4.5,5.0,24.0
Tyler Herro,1610612748,MIA,77,35.4,0.472,0.375,0.878,5.2,5.5,23.9
De'Aaron Fox,1610612759,SAS,62,36.1,0.463,0.31,0.827,4.8,6.3,23.5
Zach LaVine,1610612758,SAC,74,35.2,0.511,0.446,0.825,4.3,4.2,23.3
James Harden,1610612746,LAC,79,35.3,0.41,0.352,0.874,5.8,8.7,22.8
